ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes
1,F,30.0,Soltero,Servidor publico,Sector privado,Iphone,5.0,7.0,Si,1.0,1.0,1.0,0.0,15.0
37,M,50.0,Soltero,,Sector privado,,5.0,3.0,Si,4.0,4.0,1.0,4.0,0.0
161,0,30.0,Casado,Ingeniero,Sector privado,Iphone,5.0,3.0,No,7.0,0.0,15.0,0.0,15.0
193,M,24.0,Soltero,Desempleados,Sector privado,Reeder,0.0,4.0,Si,30.0,30.0,31.0,0.0,0.0
61,F,40.0,Soltero,Servidor publico,Institucion publica,,5.0,3.0,No,,7.0,0.0,0.0,0.0
210,F,35.0,Casado,Profesor,Institucion publica,Iphone ,0.0,6.0,Si,50.0,,4.0,15.0,7.0
20,M,35.0,Casado,Profesor,Institucion publica,Iphone ,5.0,3.0,Si,,0.0,15.0,0.0,0.0
242,,50.0,Casado,Ingeniero,Sector privado,Iphone  5S,5.0,3.0,No,0.0,7.0,15.0,1.0,0.0
121,M,45.0,Casado,Ingeniero biomedico,Institucion publica,,5.0,0.0,Si,0.0,4.0,1.0,0.0,0.0
80,F,30.0,Soltero,Servidor publico,Desempleados,Iphone,5.0,3.0,Si,1.0,7.0,1.0,4.0,30.0
12,F,24.0,Soltero,Servidor publico,Institucion publica,Samsung Note 2,10.0,3.0,Si,,1.0,31.0,0.0,15.0
52,F,35.0,Soltero,Servidor publico,Sector privado,Iphone 6,5.0,6.0,Si,7.0,31.0,1.0,0.0,31.0
21,F,24.0,Casado,,Institucion publica,Samsung J5,5.0,3.0,No,0.0,30.0,1.0,15.0,7.0
146,M,35.0,Casado,entrenador,Desempleados,Samsung,5.0,6.0,No,31.0,7.0,0.0,0.0,0.0
235,M,24.0,Soltero,AlumNo,Sector privado,Samsung,0.0,3.0,Si,4.0,50.0,1.0,0.0,0.0
82,F,35.0,Casado,Enfermera,Institucion publica,Iphone  5S,,5.0,Si,50.0,4.0,15.0,0.0,0.0
199,M,50.0,Soltero,Servidor publico,Sector privado,HTC ,,3.0,Si,31.0,7.0,1.0,0.0,7.0
179,F,40.0,Casado,Ingenieria en computacion,Institucion publica,LG,5.0,3.0,Si,1.0,7.0,1.0,0.0,30.0
65,M,50.0,Casado,Analista de informacion,Sector privado,Samsung,10.0,3.0,Si,0.0,30.0,0.0,0.0,31.0
160,M,30.0,Soltero,Quimico,Sector privado,Iphone,0.0,3.0,No,31.0,7.0,1.0,0.0,0.0
80,M,30.0,Casado,Profesor,Sector privado,HTC M8,10.0,7.0,No,0.0,31.0,1.0,0.0,1.0
179,F,40.0,Casado,Profesor,Sector privado,,0.0,3.0,No,1.0,0.0,0.0,0.0,4.0
148,F,30.0,Casado,,Desempleados,SAMSUNG A5,5.0,3.0,No,50.0,7.0,1.0,1.0,1.0
230,F,40.0,Soltero,Ingenieria en computacion,Institucion publica,Samsung J5,5.0,3.0,Si,,1.0,1.0,0.0,7.0
17,F,,Casado,Desempleados,Desempleados,Iphone,5.0,7.0,No,31.0,50.0,15.0,0.0,4.0
78,M,30.0,Soltero,Ingeniero,Institucion publica,Samsung,15.0,7.0,No,0.0,0.0,1.0,0.0,15.0
140,M,30.0,Casado,Ingeniero de software,Sector privado,Samsung Note 2,5.0,3.0,Si,50.0,1.0,15.0,0.0,31.0
231,M,35.0,Casado,Ingeniero,Sector privado,Samsung,0.0,3.0,No,50.0,0.0,0.0,0.0,0.0
90,F,35.0,Casado,Servidor publico,Sector privado,Samsung,5.0,,No,,50.0,1.0,0.0,15.0
80,M,24.0,Casado,Servidor publico,Sector privado,Iphone ,5.0,0.0,Si,0.0,4.0,31.0,0.0,0.0
142,M,35.0,Casado,Ingenieria en computacion,Desempleados,Sony,5.0,3.0,Si,30.0,0.0,31.0,0.0,7.0
135,M,30.0,Soltero,Desempleados,Institucion publica,Iphone 6,5.0,4.0,Si,0.0,31.0,31.0,15.0,0.0
30,M,35.0,Soltero,Servidor publico,Sector privado,Samsung A5,10.0,4.0,No,31.0,30.0,1.0,0.0,7.0
16,M,30.0,Soltero,Profesor,Institucion publica,Iphone 5,5.0,6.0,Si,1.0,7.0,1.0,0.0,
232,F,24.0,Soltero,,Sector privado,LG G3,0.0,4.0,Si,30.0,4.0,1.0,0.0,0.0
73,F,30.0,Casado,Desempleados,Institucion publica,Sony,10.0,0.0,Si,1.0,31.0,31.0,0.0,0.0
220,M,30.0,Soltero,Profesor,Institucion publica,Iphone 6+,10.0,6.0,Si,7.0,31.0,1.0,15.0,7.0
148,M,45.0,Soltero,Profesor,Sector privado,Iphone  5S,10.0,3.0,Si,30.0,31.0,1.0,15.0,0.0
202,M,50.0,Casado,Servidor publico,Institucion publica,Samsung,10.0,3.0,Si,0.0,1.0,1.0,0.0,7.0
157,F,40.0,Soltero,Profesor,Sector privado,Nokia,5.0,3.0,Si,7.0,50.0,1.0,0.0,30.0
44,F,45.0,Soltero,Ingeniero de software,Institucion publica,Samsung S7+,5.0,6.0,Si,0.0,31.0,1.0,7.0,0.0
242,M,50.0,Casado,Ingeniero,Institucion publica,,5.0,7.0,Si,7.0,50.0,0.0,0.0,0.0
74,M,24.0,Casado,Profesor,Institucion publica,Samsung,0.0,3.0,Si,,4.0,0.0,0.0,0.0
136,F,30.0,Casado,Profesor,Sector privado,Samsung  A6,5.0,0.0,Si,7.0,31.0,0.0,0.0,0.0
151,F,40.0,Soltero,Ingenieria en computacion,Institucion publica,General Mobile,5.0,4.0,No,1.0,1.0,1.0,0.0,30.0
156,F,45.0,Casado,Ingenieria en computacion,Sector privado,Iphone,5.0,,Si,0.0,31.0,1.0,0.0,31.0
230,M,30.0,Soltero,Ingeniero de informacion,Sector privado,ASUS,5.0,4.0,Si,30.0,0.0,1.0,15.0,0.0
182,F,30.0,Soltero,Servidor publico,Sector privado,Iphone,5.0,3.0,Si,1.0,30.0,15.0,,31.0
92,F,24.0,Soltero,Ingeniero,Sector privado,SONY Z2,5.0,6.0,Si,31.0,7.0,0.0,0.0,35.0
62,F,50.0,Soltero,Desempleados,Desempleados,Nokia,10.0,3.0,Si,7.0,4.0,0.0,0.0,4.0
169,M,30.0,Soltero,Profesor,Desempleados,LG,5.0,3.0,Si,7.0,31.0,1.0,1.0,31.0
129,M,24.0,Soltero,Profesor,Institucion publica,,5.0,6.0,No,7.0,7.0,1.0,0.0,7.0
206,F,35.0,Soltero,Profesor,Sector privado,Samsung  A6,10.0,0.0,No,,0.0,0.0,0.0,1.0
228,F,50.0,Casado,Ingeniero de informacion,Institucion publica,Samsung,10.0,3.0,Si,,7.0,31.0,31.0,0.0
115,M,35.0,Casado,ArtesaNo,Desempleados,Iphone 6,5.0,,Si,0.0,50.0,0.0,0.0,15.0
110,F,30.0,Soltero,Ingeniero,Institucion publica,Samsung Note 4,10.0,0.0,Si,7.0,7.0,31.0,31.0,35.0
134,F,30.0,Casado,AlumNo,Institucion publica,Samsung Note 3,5.0,3.0,No,50.0,0.0,31.0,0.0,4.0
158,F,,Soltero,Profesor,Sector privado,LeNovo K5 Vibe,5.0,4.0,Si,30.0,1.0,0.0,1.0,4.0
40,M,40.0,Soltero,Profesor,Sector privado,Iphone ,10.0,3.0,Si,0.0,4.0,1.0,0.0,31.0
29,F,30.0,Soltero,Ingeniero de informacion,Sector privado,SONY XPER?A 75,0.0,0.0,Si,7.0,4.0,15.0,,15.0
54,M,40.0,Casado,,Institucion publica,ASUS,10.0,6.0,Si,31.0,0.0,1.0,15.0,15.0
51,F,24.0,Soltero,adquisitivo,Sector privado,Samsung S6,5.0,4.0,Si,31.0,7.0,1.0,15.0,35.0
237,,30.0,Casado,Ingeniero,Institucion publica,Samsung,5.0,3.0,Si,7.0,31.0,1.0,0.0,0.0
54,,50.0,Soltero,Ingenieria en computacion,Institucion publica,Iphone ,5.0,6.0,Si,0.0,4.0,0.0,0.0,0.0
94,M,35.0,Soltero,Ingeniero de informacion,Sector privado,Iphone,0.0,3.0,No,7.0,31.0,1.0,0.0,30.0
151,M,,Soltero,Servidor publico,Institucion publica,Samsung S6 EDGE,5.0,3.0,No,31.0,50.0,15.0,15.0,
152,F,35.0,Casado,Desempleados,Sector privado,Iphone ,5.0,3.0,No,7.0,30.0,1.0,0.0,7.0
60,F,40.0,Casado,Cajero,Desempleados,Samsung  A6,0.0,7.0,Si,31.0,0.0,0.0,0.0,4.0
166,M,30.0,Casado,,Institucion publica,Samsung,10.0,3.0,Si,,30.0,1.0,0.0,1.0
44,F,30.0,Soltero,Ingeniero,Desempleados,Samsung,10.0,6.0,Si,0.0,4.0,15.0,0.0,4.0
210,F,30.0,Soltero,Trabajador,Sector privado,HTC M8,5.0,0.0,Si,30.0,0.0,0.0,0.0,7.0
119,F,30.0,Casado,Desempleados,Sector privado,Iphone 5S,5.0,4.0,Si,7.0,30.0,0.0,0.0,7.0
160,M,35.0,Soltero,Desempleados,Sector privado,Samsung S7+,0.0,6.0,Si,0.0,1.0,1.0,0.0,31.0
113,F,30.0,Soltero,Ingeniero de informacion,Sector privado,Samsung j,10.0,3.0,Si,0.0,31.0,1.0,1.0,4.0
90,M,30.0,,Ingeniero,Sector privado,LG,5.0,7.0,Si,31.0,7.0,1.0,1.0,1.0
70,M,40.0,Casado,Ingeniero,Desempleados,Samsung,5.0,3.0,No,1.0,7.0,1.0,0.0,0.0
128,M,30.0,Soltero,Desempleados,Institucion publica,Iphone  5S,10.0,3.0,No,0.0,7.0,15.0,0.0,30.0
189,M,30.0,Soltero,Gerente,Institucion publica,Casper,5.0,3.0,Si,1.0,0.0,1.0,15.0,0.0
131,,30.0,,Servidor publico,Institucion publica,Iphone,10.0,6.0,No,7.0,7.0,1.0,0.0,7.0
108,F,30.0,Casado,,,Samsung,0.0,3.0,No,30.0,31.0,1.0,0.0,0.0
117,M,50.0,Soltero,Ingeniero,Institucion publica,Sony,5.0,7.0,Si,,0.0,0.0,0.0,7.0
102,F,30.0,Soltero,Ingeniero,Desempleados,Samsung Note 3,10.0,4.0,No,1.0,7.0,0.0,0.0,1.0
131,M,50.0,Casado,Servidor publico,Institucion publica,ASUS,5.0,3.0,No,1.0,30.0,1.0,,7.0
134,F,24.0,Soltero,Servidor publico,Institucion publica,Iphone ,0.0,3.0,No,31.0,1.0,,0.0,1.0
236,F,30.0,Soltero,Contador,Sector privado,Iphone ,5.0,3.0,No,31.0,7.0,0.0,1.0,31.0
165,M,30.0,Soltero,Servidor publico,Sector privado,Samsung Note 2,5.0,3.0,Si,30.0,50.0,1.0,15.0,15.0
123,M,24.0,Soltero,Desempleados,Institucion publica,Iphone,5.0,3.0,Si,,4.0,15.0,1.0,7.0
49,F,30.0,Soltero,,Sector privado,Samsung,5.0,3.0,Si,7.0,0.0,1.0,0.0,0.0
192,F,30.0,Soltero,Servidor publico,Institucion publica,Iphone 5S,5.0,0.0,Si,50.0,7.0,1.0,0.0,
180,M,35.0,Soltero,Ingeniero,Institucion publica,Iphone 5S,5.0,0.0,No,50.0,7.0,0.0,0.0,1.0
112,F,45.0,Soltero,,Sector privado,Samsung,5.0,4.0,Si,7.0,31.0,1.0,0.0,1.0
156,M,50.0,Soltero,Desempleados,Institucion publica,Genaral Mobile,5.0,3.0,Si,31.0,,31.0,0.0,7.0
22,M,30.0,Casado,Desempleados,Institucion publica,LG G2,0.0,4.0,No,0.0,31.0,0.0,15.0,0.0
24,M,30.0,Soltero,Profesor,Institucion publica,Samsung,5.0,3.0,No,1.0,50.0,15.0,0.0,31.0
181,M,40.0,Casado,,Sector privado,LG,10.0,3.0,No,7.0,50.0,1.0,0.0,0.0
137,M,50.0,Casado,Ingenieria en computacion,Sector privado,Samsung,5.0,4.0,Si,1.0,7.0,1.0,15.0,0.0
45,M,45.0,Soltero,AlumNo,Sector privado,Galaxy S4,5.0,3.0,Si,0.0,4.0,0.0,0.0,0.0
168,M,50.0,Soltero,Ingeniero,Sector privado,0,,4.0,Si,31.0,0.0,1.0,0.0,1.0
142,M,35.0,Soltero,,Sector privado,Samsung Note 4,10.0,6.0,Si,7.0,4.0,0.0,15.0,15.0
203,F,40.0,Soltero,ArtesaNo,Desempleados,,5.0,3.0,No,30.0,31.0,0.0,0.0,0.0
15,F,30.0,Casado,Servidor publico,Sector privado,,5.0,3.0,No,0.0,31.0,1.0,0.0,0.0
65,F,35.0,Casado,Ingeniero de software,Sector privado,Iphone ,5.0,0.0,Si,31.0,1.0,31.0,0.0,30.0
73,M,35.0,Soltero,Ingeniero de informacion,Sector privado,SAMSUNG S6,,3.0,Si,4.0,0.0,0.0,0.0,35.0
183,F,24.0,Soltero,Profesor,Institucion publica,Samsung 7+ Edge,5.0,3.0,Si,1.0,7.0,30.0,0.0,31.0
18,M,50.0,Casado,Ingeniero,Institucion publica,Sony,5.0,3.0,Si,50.0,7.0,1.0,0.0,15.0
158,F,35.0,Soltero,,Sector privado,Iphone  6,5.0,0.0,No,7.0,0.0,1.0,31.0,15.0
222,M,30.0,Casado,Matematico,Institucion publica,Iphone 7,,0.0,No,50.0,50.0,15.0,1.0,0.0
51,M,35.0,Soltero,Ingenieria en computacion,Sector privado,Iphone ,5.0,4.0,Si,50.0,31.0,,0.0,4.0
156,M,24.0,Soltero,,Sector privado,Smartphone,5.0,0.0,Si,7.0,0.0,1.0,0.0,31.0
135,M,40.0,Casado,Desempleados,Selfemployed ,LeNovo K5 Vibe,10.0,,No,31.0,31.0,31.0,0.0,1.0
96,M,30.0,Casado,Psicologo,Sector privado,,5.0,,Si,1.0,,15.0,15.0,7.0
89,F,50.0,Soltero,Desempleados,Desempleados,LG G3,5.0,4.0,No,1.0,50.0,15.0,15.0,0.0
47,M,50.0,Soltero,adquisitivo,Sector privado,Samsung,5.0,,Si,,4.0,1.0,15.0,7.0
235,F,24.0,Casado,Ingeniero electronico,Institucion publica,Samsung,5.0,6.0,No,1.0,50.0,0.0,0.0,1.0
226,M,24.0,Casado,Psicologo,Institucion publica,Samsung AT,5.0,3.0,No,0.0,1.0,0.0,0.0,0.0
3,F,50.0,Soltero,adquisitivo,Selfemployed ,Iphone 7S,15.0,3.0,Si,31.0,,0.0,0.0,31.0
112,M,40.0,Casado,Ingeniero,Desempleados,Smartphone,5.0,0.0,Si,0.0,31.0,0.0,0.0,0.0
53,M,45.0,Soltero,Ingeniero,Sector privado,Reeder,5.0,3.0,Si,7.0,0.0,15.0,1.0,
3,M,30.0,Soltero,Ingenieria en computacion,Sector privado,Android,5.0,4.0,Si,7.0,50.0,0.0,1.0,0.0
232,M,35.0,Casado,Ingeniero,Sector privado,0,10.0,0.0,No,50.0,1.0,1.0,0.0,31.0
133,M,30.0,Soltero,Cajero,Sector privado,LG G3,10.0,7.0,No,7.0,50.0,1.0,0.0,30.0
21,M,30.0,Casado,Ingeniero electrico,Institucion publica,Samsung,5.0,3.0,No,1.0,7.0,31.0,0.0,30.0
242,F,30.0,Soltero,Ingeniero de informacion,Sector privado,SAMSUNG S6,0.0,3.0,No,31.0,7.0,1.0,0.0,1.0
66,F,45.0,Soltero,Profesor,Institucion publica,Samsung S7+,10.0,5.0,No,,30.0,1.0,1.0,0.0
188,F,24.0,Soltero,Gerente,Institucion publica,LG,5.0,6.0,No,31.0,0.0,31.0,0.0,0.0
8,M,30.0,Casado,Profesor,Sector privado,Iphone,5.0,3.0,Si,50.0,7.0,15.0,0.0,15.0
204,M,30.0,Soltero,Ingeniero de informacion,Sector privado,Iphone S5,5.0,4.0,No,4.0,0.0,0.0,15.0,
66,M,35.0,Soltero,,Sector privado,Iphone ,0.0,4.0,Si,4.0,31.0,0.0,0.0,31.0
26,F,35.0,Soltero,Ingenieria en computacion,Sector privado,Iphone 4S,5.0,3.0,Si,4.0,7.0,1.0,15.0,0.0
3,F,35.0,Casado,,Sector privado,LG G2,5.0,3.0,Si,31.0,31.0,1.0,0.0,1.0
7,M,24.0,Soltero,AlumNo,Institucion publica,Iphone,5.0,7.0,Si,0.0,7.0,1.0,0.0,1.0
88,F,45.0,Casado,,Selfemployed ,Samsung,5.0,3.0,No,30.0,50.0,15.0,15.0,15.0
