ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes,TARGET
134,F,40.0,Soltero,Profesor,Institucion publica,Iphone ,5.0,0.0,Si,,4.0,1.0,0.0,30.0,Perfil_5
72,M,35.0,Soltero,Desempleados,Institucion publica,SAMSUNG A5,10.0,5.0,Si,31.0,31.0,0.0,0.0,1.0,Perfil_2
113,,45.0,Soltero,Servidor publico,,Samsung,0.0,6.0,No,1.0,4.0,1.0,15.0,0.0,Perfil_4
206,M,35.0,Soltero,Ingenieria en computacion,Sector privado,Iphone  5S,5.0,4.0,No,31.0,7.0,31.0,0.0,0.0,Perfil_2
202,M,35.0,Soltero,Servidor publico,Sector privado,ASUS,10.0,,Si,31.0,0.0,1.0,15.0,30.0,Perfil_5
1,M,30.0,Casado,Desempleados,Institucion publica,General Mobile,5.0,,Si,,7.0,0.0,1.0,31.0,Perfil_5
127,M,30.0,Casado,Analista de informacion,Sector privado,Samsung S3,10.0,3.0,No,31.0,50.0,0.0,1.0,1.0,Perfil_2
118,M,,Casado,Desempleados,Institucion publica,LG G4,5.0,3.0,No,1.0,,0.0,0.0,7.0,Perfil_5
164,,30.0,Casado,Ingeniero biomedico,Sector privado,Asus ZenFone,15.0,3.0,Si,1.0,0.0,0.0,0.0,0.0,Perfil_4
144,F,40.0,Casado,Ingeniero,Sector privado,Iphone ,5.0,7.0,No,0.0,30.0,1.0,0.0,0.0,Perfil_4
32,F,30.0,Casado,Ingenieria en computacion,Sector privado,Samsung AT,5.0,7.0,Si,,0.0,1.0,0.0,0.0,Perfil_5
41,F,40.0,Soltero,Ingenieria en computacion,Institucion publica,LG G3,5.0,3.0,Si,31.0,7.0,15.0,0.0,30.0,Perfil_2
90,F,30.0,Soltero,Servidor publico,Desempleados,Iphone 6,6.0,6.0,Si,7.0,4.0,31.0,15.0,15.0,Perfil_2
79,F,45.0,Soltero,Ingeniero biomedico,Institucion publica,,10.0,6.0,Si,,50.0,0.0,0.0,4.0,Perfil_5
132,M,35.0,Casado,Ingeniero,Sector privado,HTC,10.0,3.0,Si,0.0,4.0,0.0,15.0,0.0,Perfil_4
133,F,35.0,Casado,Desempleados,Institucion publica,Samsung S3,5.0,6.0,Si,,,31.0,15.0,7.0,Perfil_5
148,M,40.0,Soltero,Servidor publico,Sector privado,Iphone 7,10.0,0.0,No,31.0,50.0,15.0,0.0,30.0,Perfil_0
28,M,35.0,Casado,Servidor publico,Institucion publica,LeNovo K5 Vibe,0.0,6.0,No,50.0,31.0,1.0,15.0,31.0,Perfil_0
55,M,30.0,Soltero,Ingeniero,Sector privado,LeNovo S1 Lite,5.0,3.0,Si,1.0,7.0,0.0,0.0,0.0,Perfil_4
150,F,30.0,Casado,Ingeniero de informacion,Sector privado,HTC DES?RE,5.0,7.0,Si,1.0,7.0,0.0,0.0,31.0,Perfil_3
51,M,45.0,Soltero,Profesor,Institucion publica,,5.0,5.0,Si,7.0,7.0,31.0,0.0,0.0,Perfil_3
187,M,30.0,Casado,Profesor,Institucion publica,Iphone,10.0,6.0,Si,50.0,50.0,0.0,0.0,31.0,Perfil_0
190,F,30.0,Casado,,Sector privado,Iphone ,5.0,3.0,Si,7.0,7.0,1.0,15.0,0.0,Perfil_4
218,M,30.0,Casado,Servidor publico,Sector privado,Iphone 5S,0.0,3.0,Si,31.0,1.0,1.0,0.0,0.0,Perfil_4
189,M,30.0,Casado,Servidor publico,Sector privado,Samsung Note 4,5.0,3.0,Si,0.0,1.0,30.0,0.0,1.0,Perfil_4
79,M,35.0,,ArtesaNo,Sector privado,LG G3,10.0,6.0,Si,,1.0,31.0,0.0,4.0,Perfil_5
228,F,35.0,Soltero,Ingeniero de software,Institucion publica,Samsung S6,5.0,0.0,Si,31.0,7.0,0.0,0.0,7.0,Perfil_4
46,F,35.0,Soltero,Ingenieria en computacion,Desempleados,Smartphone,10.0,7.0,Si,31.0,7.0,31.0,15.0,0.0,Perfil_1
149,M,24.0,Casado,Desempleados,Institucion publica,Iphone 7,5.0,0.0,Si,31.0,50.0,0.0,0.0,30.0,Perfil_1
130,M,45.0,Soltero,Profesor,Institucion publica,Samsung S6 EDGE,5.0,6.0,No,,7.0,1.0,0.0,4.0,Perfil_5
81,M,,Soltero,Ingeniero,Institucion publica,Smartphone,10.0,3.0,Si,31.0,7.0,31.0,0.0,7.0,Perfil_2
138,F,24.0,Casado,Profesor,Selfemployed ,Samsung S7+,10.0,7.0,Si,0.0,50.0,0.0,0.0,15.0,Perfil_2
143,F,30.0,Casado,Servidor publico,Sector privado,Samsung S6 EDGE,5.0,6.0,Si,31.0,4.0,31.0,0.0,7.0,Perfil_2
241,F,30.0,Soltero,Desempleados,Sector privado,Iphone ,5.0,7.0,Si,31.0,0.0,15.0,1.0,31.0,Perfil_2
177,M,50.0,Casado,Profesor,Institucion publica,Iphone ,5.0,3.0,No,7.0,7.0,31.0,0.0,7.0,Perfil_3
69,F,30.0,Casado,Psicologo,Sector privado,LG G3,5.0,6.0,No,0.0,0.0,7.0,0.0,4.0,Perfil_4
96,M,24.0,Soltero,Profesor,Sector privado,Samsung,5.0,7.0,Si,1.0,,0.0,0.0,7.0,Perfil_5
85,F,24.0,Soltero,,Sector privado,LG G3,10.0,3.0,Si,,1.0,15.0,1.0,0.0,Perfil_3
162,F,24.0,Soltero,Desempleados,Institucion publica,Iphone 5S,10.0,7.0,Si,50.0,7.0,1.0,0.0,0.0,Perfil_1
22,M,30.0,Casado,adquisitivo,Sector privado,Samsung,10.0,3.0,Si,1.0,50.0,0.0,0.0,0.0,Perfil_3
66,F,24.0,,entrenador,Institucion publica,Iphone  5S,5.0,7.0,Si,4.0,7.0,31.0,15.0,1.0,Perfil_3
109,M,40.0,Soltero,Ingeniero,Sector privado,Android,5.0,3.0,Si,31.0,31.0,1.0,0.0,1.0,Perfil_2
115,M,24.0,Casado,Ingeniero biomedico,Institucion publica,Iphone S5,10.0,3.0,No,7.0,0.0,1.0,0.0,31.0,Perfil_3
51,M,50.0,Soltero,Profesor,Institucion publica,Iphone ,5.0,3.0,Si,0.0,7.0,31.0,15.0,0.0,Perfil_3
31,M,45.0,Casado,Ingenieria en computacion,Sector privado,Iphone 5S,0.0,,Si,1.0,4.0,1.0,15.0,15.0,Perfil_5
111,M,35.0,Soltero,Profesor,Sector privado,LG G2,15.0,7.0,Si,1.0,31.0,15.0,15.0,15.0,Perfil_1
13,M,35.0,Casado,AlumNo,Sector privado,Iphone,5.0,0.0,Si,31.0,,0.0,,7.0,Perfil_5
151,M,24.0,Casado,Ingenieria en computacion,Desempleados,0,5.0,6.0,Si,31.0,4.0,1.0,0.0,7.0,Perfil_3
35,M,24.0,Casado,Profesor,Sector privado,Iphone 6S,10.0,3.0,No,0.0,50.0,1.0,0.0,31.0,Perfil_2
245,F,30.0,Casado,adquisitivo,Sector privado,Iphone ,5.0,0.0,Si,31.0,4.0,0.0,0.0,15.0,Perfil_3
59,F,30.0,Soltero,Ingeniero,Institucion publica,LG G3,5.0,0.0,Si,30.0,31.0,4.0,0.0,1.0,Perfil_3
49,F,24.0,Casado,Ingeniero,Sector privado,Samsung S7+,0.0,4.0,Si,31.0,30.0,1.0,15.0,1.0,Perfil_2
35,M,45.0,Soltero,Profesor,Desempleados,Android,5.0,6.0,No,4.0,,1.0,31.0,31.0,Perfil_5
223,M,45.0,Soltero,Profesor,Institucion publica,Android,5.0,7.0,Si,1.0,0.0,15.0,31.0,0.0,Perfil_3
154,M,30.0,Casado,Servidor publico,Selfemployed ,Samsung,0.0,3.0,Si,50.0,31.0,31.0,0.0,30.0,Perfil_0
238,M,30.0,Casado,entrenador,Institucion publica,Smartphone,5.0,3.0,Si,31.0,31.0,1.0,0.0,0.0,Perfil_3
98,F,,Casado,,Institucion publica,Samsung S7,5.0,7.0,Si,7.0,,0.0,0.0,0.0,Perfil_5
96,M,40.0,Casado,Ingeniero electronico,Institucion publica,Samsung S3,5.0,3.0,Si,,,1.0,0.0,7.0,Perfil_5
12,M,50.0,Casado,AlumNo,Institucion publica,Samsung,5.0,,Si,31.0,,31.0,0.0,0.0,Perfil_5
113,F,45.0,Soltero,Ingenieria en computacion,Institucion publica,Samsung,5.0,3.0,Si,,4.0,1.0,15.0,0.0,Perfil_5
205,M,24.0,Soltero,Desempleados,Sector privado,Casper,5.0,3.0,Si,7.0,4.0,1.0,0.0,35.0,Perfil_3
36,M,30.0,Casado,Ingeniero,Institucion publica,Iphone 6S,10.0,4.0,No,31.0,4.0,1.0,0.0,0.0,Perfil_4
2,M,45.0,Casado,Servidor publico,,,5.0,0.0,No,50.0,50.0,0.0,0.0,0.0,Perfil_1
178,M,30.0,Soltero,Cajero,Selfemployed ,Samsung S6,0.0,5.0,Si,4.0,31.0,1.0,0.0,0.0,Perfil_2
181,M,24.0,Soltero,Enfermera,Institucion publica,Iphone ,5.0,6.0,No,,31.0,31.0,0.0,0.0,Perfil_3
11,M,24.0,Soltero,,Sector privado,Huawei 6205,10.0,3.0,Si,0.0,31.0,1.0,0.0,0.0,Perfil_4
2,,30.0,Soltero,Ingenieria en computacion,Sector privado,Android,5.0,6.0,Si,31.0,4.0,0.0,0.0,1.0,Perfil_4
150,F,40.0,Soltero,Ingeniero,Sector privado,Iphone 5S,5.0,3.0,Si,50.0,50.0,1.0,1.0,15.0,Perfil_1
138,F,24.0,Casado,Ingeniero de software,Sector privado,Smartphone,5.0,6.0,Si,0.0,7.0,1.0,0.0,0.0,Perfil_4
28,F,30.0,Casado,Servidor publico,Institucion publica,Samsung S3,10.0,3.0,Si,1.0,0.0,31.0,0.0,1.0,Perfil_4
26,M,24.0,,Ingeniero,Institucion publica,Android,5.0,3.0,Si,7.0,1.0,1.0,0.0,30.0,Perfil_5
192,F,24.0,Casado,Ingeniero,Institucion publica,Iphone 5,5.0,3.0,No,,0.0,1.0,0.0,15.0,Perfil_5
197,F,35.0,Casado,Ingeniero electronico,Desempleados,Samsung,0.0,4.0,Si,1.0,7.0,1.0,0.0,7.0,Perfil_4
222,M,50.0,Casado,Servidor publico,Desempleados,LG,5.0,4.0,No,7.0,7.0,1.0,15.0,1.0,Perfil_4
237,M,24.0,Casado,Desempleados,Institucion publica,Iphone S5,15.0,0.0,No,4.0,30.0,31.0,0.0,0.0,Perfil_2
233,M,40.0,Casado,Ingenieria en computacion,Institucion publica,Samsung,0.0,3.0,Si,0.0,4.0,1.0,0.0,15.0,Perfil_4
97,F,40.0,Casado,Profesor,Institucion publica,LG G2,5.0,0.0,Si,30.0,0.0,31.0,0.0,0.0,Perfil_3
62,M,35.0,,Profesor,Institucion publica,Iphone ,5.0,3.0,No,7.0,50.0,0.0,31.0,31.0,Perfil_1
189,,30.0,Soltero,ArtesaNo,Institucion publica,Iphone ,0.0,0.0,Si,31.0,7.0,,0.0,7.0,Perfil_5
234,M,24.0,Soltero,Desempleados,Sector privado,Android,,4.0,Si,,30.0,1.0,0.0,15.0,Perfil_3
44,M,30.0,Casado,AlumNo,Institucion publica,Iphone ,10.0,3.0,Si,31.0,50.0,7.0,0.0,7.0,Perfil_1
188,F,35.0,Soltero,Profesor,Sector privado,Samsung S6,0.0,3.0,Si,1.0,1.0,1.0,1.0,31.0,Perfil_5
234,M,35.0,Casado,Desempleados,Sector privado,SAMSUNG S6,10.0,4.0,Si,50.0,0.0,0.0,0.0,7.0,Perfil_3
179,F,35.0,Casado,Profesor,Sector privado,Iphone,5.0,3.0,Si,,31.0,,0.0,15.0,Perfil_5
45,,35.0,Casado,,Sector privado,Samsung S7+,5.0,3.0,Si,1.0,0.0,1.0,0.0,0.0,Perfil_4
174,F,50.0,Casado,Desempleados,Sector privado,Iphone 6,5.0,3.0,No,31.0,31.0,1.0,,4.0,Perfil_4
169,M,35.0,Soltero,Profesor,Institucion publica,Samsung,5.0,0.0,Si,50.0,0.0,15.0,0.0,1.0,Perfil_3
7,M,30.0,Soltero,Profesor,Sector privado,Samsung s3,10.0,6.0,Si,1.0,50.0,15.0,0.0,0.0,Perfil_2
21,M,24.0,Soltero,Ingenieria en computacion,Institucion publica,Samsung,5.0,3.0,No,0.0,0.0,1.0,0.0,15.0,Perfil_4
187,M,24.0,Soltero,,Sector privado,LG G3,5.0,3.0,No,,7.0,31.0,0.0,15.0,Perfil_5
212,M,30.0,Soltero,Profesor,Institucion publica,Samsung,5.0,6.0,Si,31.0,50.0,1.0,0.0,0.0,Perfil_2
181,M,35.0,Casado,Retirado,Institucion publica,LG G3,5.0,3.0,Si,,50.0,1.0,0.0,0.0,Perfil_5
38,M,30.0,Casado,Ingeniero,Institucion publica,Iphone,5.0,3.0,Si,50.0,7.0,31.0,1.0,7.0,Perfil_1
197,M,24.0,Casado,AlumNo,Sector privado,Casper,5.0,3.0,Si,31.0,50.0,15.0,,7.0,Perfil_5
205,M,30.0,Soltero,Profesor,Institucion publica,Iphone ,5.0,3.0,No,31.0,31.0,15.0,0.0,1.0,Perfil_2
95,M,35.0,Soltero,Servidor publico,Desempleados,Iphone 6S,5.0,4.0,No,31.0,7.0,15.0,0.0,0.0,Perfil_3
159,M,35.0,Casado,,Sector privado,Casper,10.0,6.0,Si,50.0,31.0,1.0,15.0,7.0,Perfil_1
154,M,40.0,,Gerente,Sector privado,Samsung j5,5.0,6.0,No,1.0,4.0,31.0,0.0,1.0,Perfil_4
43,F,30.0,Casado,Matematico,Sector privado,ASUS,,3.0,No,31.0,31.0,,15.0,7.0,Perfil_5
86,F,45.0,Casado,Servidor publico,Sector privado,Samsung,5.0,3.0,Si,1.0,0.0,1.0,1.0,0.0,Perfil_4
224,M,40.0,Casado,Ingeniero de informacion,Sector privado,Samsung,5.0,4.0,No,31.0,50.0,1.0,0.0,0.0,Perfil_1
249,F,30.0,Soltero,Ingeniero de software,Institucion publica,0,0.0,7.0,Si,31.0,31.0,1.0,0.0,31.0,Perfil_1
228,F,50.0,Casado,,Sector privado,Samsung S6,5.0,3.0,No,0.0,31.0,15.0,0.0,30.0,Perfil_2
221,F,50.0,Soltero,Ingeniero de maquinaria,Sector privado,HTC,5.0,,Si,31.0,,1.0,0.0,0.0,Perfil_5
42,M,30.0,Soltero,Ingeniero,Desempleados,Iphone 5S,0.0,6.0,Si,7.0,4.0,1.0,0.0,1.0,Perfil_4
83,M,35.0,Soltero,,Institucion publica,Android,,,Si,50.0,7.0,0.0,0.0,,Perfil_5
226,M,30.0,Soltero,,Institucion publica,Nokia,5.0,3.0,No,31.0,0.0,1.0,0.0,0.0,Perfil_4
19,M,35.0,Casado,Profesor,Institucion publica,Smartphone,15.0,3.0,No,7.0,30.0,1.0,15.0,15.0,Perfil_2
171,M,35.0,Casado,Profesor,Desempleados,Casper,0.0,0.0,No,7.0,,,0.0,0.0,Perfil_5
82,F,30.0,Soltero,Ingeniero electronico,Sector privado,Iphone,10.0,0.0,No,50.0,0.0,31.0,0.0,35.0,Perfil_1
158,M,30.0,Soltero,Analista de informacion,Sector privado,,10.0,3.0,Si,0.0,50.0,1.0,0.0,0.0,Perfil_3
241,F,30.0,Soltero,Desempleados,Sector privado,Samsung S7+,10.0,3.0,Si,30.0,50.0,1.0,15.0,15.0,Perfil_5
225,F,30.0,Casado,Ingeniero,Desempleados,Iphone 7S,0.0,4.0,No,7.0,0.0,31.0,0.0,1.0,Perfil_4
45,F,50.0,,Ingenieria en computacion,Sector privado,Iphone,5.0,3.0,No,1.0,31.0,1.0,0.0,0.0,Perfil_4
19,M,24.0,Soltero,Ingenieria en computacion,Sector privado,Iphone ,5.0,0.0,Si,0.0,1.0,1.0,0.0,4.0,Perfil_4
91,M,30.0,Casado,,Institucion publica,Iphone ,0.0,3.0,Si,31.0,0.0,1.0,0.0,31.0,Perfil_3
124,M,50.0,Soltero,adquisitivo,Institucion publica,Iphone ,5.0,7.0,Si,,,1.0,0.0,31.0,Perfil_5
111,F,30.0,Soltero,Profesor,Institucion publica,Iphone 5,15.0,4.0,Si,,0.0,31.0,0.0,0.0,Perfil_5
117,F,40.0,,Ingeniero de informacion,Sector privado,Samsung,0.0,3.0,Si,0.0,7.0,0.0,0.0,31.0,Perfil_4
172,M,30.0,Soltero,Ingeniero,Institucion publica,Iphone 5S,5.0,,Si,7.0,0.0,31.0,0.0,4.0,Perfil_5
202,,24.0,Casado,Ingeniero,Institucion publica,,5.0,6.0,No,1.0,7.0,1.0,0.0,0.0,Perfil_4
70,F,24.0,Soltero,Desempleados,Institucion publica,Iphone 5,5.0,6.0,Si,7.0,7.0,15.0,15.0,0.0,Perfil_3
29,M,30.0,,Ingenieria en computacion,Sector privado,Samsung S6,5.0,3.0,No,7.0,0.0,1.0,0.0,31.0,Perfil_4
155,M,35.0,Soltero,Servidor publico,Sector privado,Samsung,10.0,6.0,Si,31.0,1.0,1.0,15.0,1.0,Perfil_5
47,M,50.0,Casado,Desempleados,Sector privado,ASUS,0.0,0.0,Si,1.0,0.0,1.0,15.0,0.0,Perfil_4
191,M,30.0,Casado,Ingenieria en computacion,Sector privado,Samsung S3,5.0,0.0,Si,31.0,0.0,0.0,0.0,7.0,Perfil_4
206,F,24.0,Casado,AlumNo,Institucion publica,Iphone 6,5.0,3.0,Si,0.0,,1.0,0.0,15.0,Perfil_5
156,F,,Casado,Profesor,Desempleados,Samsung,5.0,4.0,No,31.0,4.0,0.0,1.0,0.0,Perfil_4
237,M,35.0,Casado,Ingeniero,Institucion publica,Samsung,5.0,3.0,Si,31.0,7.0,1.0,0.0,0.0,Perfil_4
76,M,30.0,Soltero,Ingeniero de informacion,Institucion publica,LeNovo S1 Lite,10.0,3.0,No,31.0,7.0,15.0,0.0,0.0,Perfil_3
142,F,30.0,Casado,Ingeniero,Sector privado,,5.0,3.0,No,1.0,,1.0,0.0,31.0,Perfil_5
221,M,24.0,Casado,Servidor publico,Institucion publica,,,,Si,,7.0,15.0,,4.0,Perfil_0
59,F,30.0,Soltero,Ingeniero de informacion,Sector privado,HTC,10.0,3.0,Si,50.0,31.0,31.0,0.0,0.0,Perfil_1
133,M,24.0,Soltero,Matematico,Institucion publica,Iphone ,,7.0,Si,7.0,50.0,15.0,15.0,1.0,Perfil_5
27,M,40.0,Casado,Profesor,Sector privado,Samsung,0.0,3.0,Si,,7.0,0.0,0.0,15.0,Perfil_5
81,M,30.0,Casado,adquisitivo,Institucion publica,Samsung,10.0,3.0,No,,7.0,0.0,1.0,1.0,Perfil_5
85,F,30.0,Casado,Ingenieria en computacion,Institucion publica,Iphone,5.0,3.0,Si,31.0,50.0,15.0,0.0,31.0,Perfil_0
43,F,35.0,Casado,Ingeniero,,Iphone ,5.0,6.0,No,1.0,30.0,1.0,15.0,15.0,Perfil_3
185,F,30.0,Soltero,,Institucion publica,LG G4,5.0,3.0,No,31.0,1.0,1.0,0.0,0.0,Perfil_4
125,F,30.0,Soltero,,Institucion publica,Galaxy S4,5.0,3.0,Si,1.0,50.0,0.0,0.0,30.0,Perfil_2
97,M,30.0,Casado,Profesor,Sector privado,,5.0,0.0,No,7.0,1.0,1.0,0.0,15.0,Perfil_1
227,F,50.0,Soltero,Ingeniero,Institucion publica,Iphone ,5.0,7.0,No,31.0,7.0,1.0,0.0,31.0,Perfil_2
204,M,35.0,Casado,Servidor publico,Institucion publica,,0.0,6.0,Si,7.0,1.0,1.0,0.0,1.0,Perfil_4
172,M,35.0,Casado,Ingenieria en computacion,Institucion publica,,5.0,7.0,Si,7.0,1.0,0.0,0.0,0.0,Perfil_4
162,M,30.0,Soltero,Ingeniero,Sector privado,Samsung,5.0,6.0,Si,7.0,4.0,1.0,0.0,7.0,Perfil_4
65,M,30.0,Soltero,Profesor,Sector privado,Iphone 5S,5.0,7.0,No,0.0,4.0,1.0,0.0,0.0,Perfil_4
221,M,30.0,,Profesor,Sector privado,Iphone 6,15.0,,No,7.0,7.0,31.0,0.0,15.0,Perfil_5
124,M,,Casado,,Sector privado,Iphone 7,5.0,0.0,Si,7.0,1.0,0.0,0.0,15.0,Perfil_4
38,F,40.0,Casado,,Sector privado,Iphone 6,10.0,3.0,No,31.0,31.0,1.0,0.0,7.0,Perfil_2
131,F,50.0,Casado,entrenador,Sector privado,LG,5.0,0.0,Si,1.0,0.0,1.0,0.0,4.0,Perfil_4
88,F,45.0,Soltero,Servidor publico,Sector privado,Samsung,10.0,3.0,Si,,31.0,0.0,0.0,30.0,Perfil_5
119,M,50.0,Soltero,Ingeniero,Sector privado,Iphone,5.0,4.0,No,31.0,7.0,0.0,,35.0,Perfil_5
142,F,30.0,Soltero,Profesor,Sector privado,Casper,5.0,3.0,Si,,0.0,1.0,15.0,0.0,Perfil_5
191,M,30.0,Soltero,,Sector privado,Samsung Note 2,5.0,0.0,Si,7.0,31.0,15.0,0.0,0.0,Perfil_3
19,M,30.0,Soltero,Ingeniero,Sector privado,Samsung,5.0,3.0,Si,1.0,30.0,1.0,0.0,0.0,Perfil_1
186,M,30.0,Soltero,Ingeniero biomedico,Institucion publica,HTC ,5.0,6.0,Si,7.0,7.0,0.0,1.0,0.0,Perfil_4
170,M,35.0,Casado,Ingenieria en computacion,Institucion publica,Iphone ,0.0,4.0,Si,4.0,50.0,,,1.0,Perfil_5
74,F,30.0,Casado,Profesor,Institucion publica,HTC M8,5.0,6.0,Si,,7.0,15.0,0.0,0.0,Perfil_5
78,F,24.0,Casado,Contador,Institucion publica,Samsung S7+,5.0,7.0,No,1.0,50.0,15.0,0.0,1.0,Perfil_2
158,F,30.0,Soltero,,Institucion publica,SAMSUNG A5,5.0,3.0,Si,31.0,30.0,1.0,0.0,31.0,Perfil_1
30,F,35.0,Casado,Profesor,Sector privado,LG,0.0,0.0,No,31.0,30.0,0.0,0.0,35.0,Perfil_2
131,M,24.0,Soltero,Servidor publico,Institucion publica,SAMSUNG A5,15.0,7.0,No,31.0,31.0,15.0,15.0,0.0,Perfil_1
67,F,30.0,Casado,AlumNo,Sector privado,Iphone 6,5.0,4.0,Si,31.0,50.0,0.0,0.0,0.0,Perfil_2
45,M,24.0,Soltero,,Selfemployed ,Samsung,10.0,3.0,Si,1.0,1.0,15.0,0.0,31.0,Perfil_3
67,M,35.0,Soltero,Ingeniero,Sector privado,Samsung,5.0,3.0,Si,7.0,7.0,1.0,0.0,31.0,Perfil_3
82,M,24.0,Casado,Desempleados,Sector privado,Iphone,5.0,0.0,No,30.0,0.0,1.0,0.0,0.0,Perfil_3
9,,35.0,Soltero,Ingeniero,Sector privado,Iphone 6,10.0,0.0,Si,0.0,0.0,1.0,0.0,1.0,Perfil_4
247,F,24.0,Soltero,Ingeniero de software,Sector privado,LG G2,5.0,3.0,Si,31.0,7.0,1.0,0.0,0.0,Perfil_4
26,,30.0,Casado,Desempleados,Sector privado,Iphone 5S,5.0,3.0,No,31.0,1.0,1.0,15.0,0.0,Perfil_3
194,M,45.0,Casado,Ingenieria en computacion,Desempleados,Casper,5.0,0.0,Si,31.0,4.0,1.0,0.0,0.0,Perfil_4
170,F,45.0,Soltero,Servidor publico,Sector privado,LG G3,10.0,3.0,No,1.0,0.0,1.0,0.0,0.0,Perfil_4
86,F,30.0,Casado,Desempleados,Institucion publica,SONY,5.0,3.0,Si,0.0,1.0,15.0,0.0,4.0,Perfil_4
53,F,45.0,Soltero,Minero,Sector privado,Smartphone,10.0,3.0,Si,7.0,0.0,1.0,0.0,0.0,Perfil_4
15,M,40.0,Soltero,Desempleados,Institucion publica,Iphone 7,0.0,5.0,Si,7.0,31.0,1.0,0.0,31.0,Perfil_3
114,F,40.0,Soltero,AlumNo,Institucion publica,Samsung,10.0,6.0,No,31.0,7.0,1.0,0.0,0.0,Perfil_3
114,F,,Soltero,Analista de informacion,Sector privado,Iphone 6S,5.0,3.0,Si,4.0,7.0,1.0,0.0,4.0,Perfil_4
199,M,24.0,Soltero,Desempleados,Sector privado,Iphone 6,0.0,3.0,Si,7.0,1.0,1.0,15.0,31.0,Perfil_3
120,M,24.0,Soltero,Cajero,Sector privado,Asus ZenFone,5.0,3.0,Si,31.0,7.0,1.0,15.0,15.0,Perfil_2
229,M,35.0,Casado,Ingeniero,Institucion publica,Nokia E5,10.0,,No,1.0,0.0,31.0,0.0,0.0,Perfil_5
54,M,30.0,Soltero,Quimico,Sector privado,LG,0.0,6.0,Si,0.0,0.0,15.0,1.0,0.0,Perfil_4
203,F,,Soltero,Desempleados,Selfemployed ,LG G3,5.0,,Si,,7.0,1.0,0.0,7.0,Perfil_5
133,M,35.0,Casado,Desempleados,Sector privado,Samsung,5.0,3.0,Si,31.0,7.0,1.0,0.0,1.0,Perfil_4
177,F,30.0,Soltero,Profesor,Institucion publica,LG G3,5.0,6.0,Si,31.0,1.0,31.0,0.0,7.0,Perfil_2
114,M,35.0,Casado,Ingeniero,Desempleados,Iphone ,5.0,3.0,No,1.0,50.0,1.0,0.0,0.0,Perfil_3
227,F,35.0,Soltero,Ingeniero,Sector privado,Samsung,5.0,3.0,Si,31.0,7.0,,0.0,1.0,Perfil_5
244,M,35.0,Soltero,Matematico,Desempleados,Samsung Note 4,10.0,6.0,Si,1.0,1.0,31.0,0.0,15.0,Perfil_3
105,F,24.0,Casado,Servidor publico,Institucion publica,Samsung A5,5.0,3.0,Si,,7.0,1.0,0.0,0.0,Perfil_5
228,M,35.0,Soltero,Ingeniero de software,Sector privado,Android,10.0,4.0,Si,50.0,30.0,30.0,0.0,7.0,Perfil_0
31,M,24.0,Casado,Servidor publico,Sector privado,Samsung Note 4,5.0,3.0,Si,,0.0,0.0,0.0,7.0,Perfil_5
244,M,30.0,Casado,Profesor,Institucion publica,L G,5.0,3.0,No,7.0,4.0,0.0,0.0,4.0,Perfil_0
